path	bytes	sha256	kind	disposition	note
.github/workflows/android.yml	6805	c850d4346b0a3dc8a5c2b43d3e8d8cd1ddd4c15c73b95f503ad12ba609957198	text-or-container	REWRITE_CI	workflow is evidence only; Greenfield CI has one new artifact contract
.github/workflows/api38-universal-apk.yml	2394	90684a48e9f21fdcac56bff592d3a014f977df304b371a9db873c003db94f1b9	text-or-container	REIMPLEMENT_CONCEPT	coherent Android matrix and artifact-verification lessons only
.gitignore	228	eea17e9f4b772f5a8173e95fe9d1f5ba8b0b016f20786c108b05eac7987b312f	text-or-container	REFERENCE	read-only legacy evidence
APK_BUILD_POSTMORTEM_API38_ABI10_SAVE30.txt	26664	af712be104e03f83498e49368b2d237799f8a2b598f10501d43ec1e462c714f1	text-or-container	REIMPLEMENT_CONCEPT	authoritative failure evidence; no code inheritance
CERTIFICATION.md	9807	27743757d8c5044aecc18b66dfefdef3788d5847d734a61b8832421253467134	text-or-container	REFERENCE_HISTORY	historical evidence only
CHANGELOG.md	14552	f54f751c48522994b4979fafb5840f1e2ccf340d43bc04bfde2d9ad6b7766961	text-or-container	REFERENCE_HISTORY	historical evidence only
CHECKPOINT_MANIFEST.sha256	182	b86680531afe09a4077faf9563bcf17d97f9e1ba066c5f9afa8b7e6582b885db	text-or-container	REFERENCE_DESIGN	legacy design/evidence may inform audit but cannot override Greenfield authority
CHECKPOINT_MANIFEST.txt	8168	abda9b40c93c498ee6cee296e99c0f735c07697f76e42c191f37128176a2c91f	text-or-container	REFERENCE_DESIGN	legacy design/evidence may inform audit but cannot override Greenfield authority
CHECKPOINT_SHA256SUMS.txt	23084	e4c4bc05eb6cc0d9ae1c9cb73cd86b541a1ecf8b68ca61f06ec42ba6944f33e8	text-or-container	REFERENCE_DESIGN	legacy design/evidence may inform audit but cannot override Greenfield authority
CURRENT_WORK_STATUS_2026-08-22.txt	10029	218de0be618b55870f839a96a5063d83642e912b2e8a4567b9cf617a9d655032	text-or-container	REFERENCE_HISTORY	historical evidence only
Makefile	18848	001d7f0171e95548f0d2da8053d584f61b22a5dc62b8946419992d92a2b062a7	text-or-container	REFERENCE	read-only legacy evidence
PROJECT_SPINE.json	13658	87e660cb8b8df215cbf804fdb44c9bb9b34f9fbc08a4afb98ada3c2e31412af4	text-or-container	REFERENCE_DESIGN	legacy design/evidence may inform audit but cannot override Greenfield authority
README.md	6832	dcb40800a568f0c122ca887580151d1bf0bc31fcc6a22d5c56e68eab7f06fc47	text-or-container	REFERENCE_HISTORY	historical evidence only
SOURCE_PROVENANCE.txt	550	66703da446bc3606c2548f5deaaaa114e5d6e05b21ed0da2fff0052859873379	text-or-container	REFERENCE_HISTORY	historical evidence only
app/flutter/.gitignore	204	82c0234fdf5ed4618e0dc920abe1046cb5e4d16bac7b6f61ae9367bef2d5eddb	text-or-container	REFERENCE	read-only legacy evidence
app/flutter/CMakeLists.txt	3495	65cb00daa21f04165d87ebabe5619d0a4e464229dabea3b1841cac0fa1fd2474	text-or-container	REFERENCE	read-only legacy evidence
app/flutter/README.md	795	6d669faacbd56f3049058d9c4539f1677f0cb604aa8dd6d4665b44cad6072fbf	text-or-container	REFERENCE	read-only legacy evidence
